episode:1,Updates:1/50,Timesteps:400/10000,FPS:95.0,avg_sp:0.24242424242424243,avg_xp_0_0:0.48484848484848486,avg_xp_0_1:0.4090909090909091,value_loss:1.85826895236969,policy_loss:-0.0010507254773983732,dist_entropy:2.0774800459543865,actor_grad_norm:2.699645169576009,critic_grad_norm:15.255405461912353,ratio:3.0002412517865498,best_i:0,average_step_rewards:0.07999999821186066
episode:2,Updates:2/50,Timesteps:600/10000,FPS:81.0,avg_sp:0.13636363636363635,avg_xp_0_0:0.36363636363636365,avg_xp_0_1:0.36363636363636365,value_loss:1.2476058344046275,policy_loss:0.040066600528700896,dist_entropy:2.064737339814504,actor_grad_norm:2.352808634440104,critic_grad_norm:14.887628451983135,ratio:3.002913061777751,best_i:0,average_step_rewards:0.04500000178813934
episode:3,Updates:3/50,Timesteps:800/10000,FPS:77.0,avg_sp:0.16666666666666666,avg_xp_0_0:0.2878787878787879,avg_xp_0_1:0.2727272727272727,value_loss:0.7833797603845596,policy_loss:0.05574310357992355,dist_entropy:2.0390517552693685,actor_grad_norm:2.112689431508382,critic_grad_norm:11.420138728618621,ratio:3.0096513350804646,best_i:0,average_step_rewards:0.054999999701976776
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:73.0,avg_sp:0.18181818181818182,avg_xp_0_0:0.36363636363636365,avg_xp_0_1:0.30303030303030304,value_loss:0.7912311911582947,policy_loss:0.0884983188249171,dist_entropy:2.000326975186666,actor_grad_norm:1.3313856283823648,critic_grad_norm:9.375788843631744,ratio:3.0018807729085286,best_i:0,average_step_rewards:0.05999999865889549
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:69.0,avg_sp:0.12121212121212122,avg_xp_0_0:0.22727272727272727,avg_xp_0_1:0.3333333333333333,value_loss:1.214964069922765,policy_loss:0.0717857406137045,dist_entropy:1.9643036286036173,actor_grad_norm:2.5304232756296794,critic_grad_norm:7.30689657330513,ratio:2.998653690020243,best_i:0,average_step_rewards:0.03999999910593033
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:68.0,avg_sp:0.22727272727272727,avg_xp_0_0:0.21212121212121213,avg_xp_0_1:0.3484848484848485,value_loss:1.0158499479293823,policy_loss:0.12139632272093633,dist_entropy:1.925316854317983,actor_grad_norm:2.3736902395884196,critic_grad_norm:6.3353906095027925,ratio:2.9991344690322874,best_i:0,average_step_rewards:0.07500000298023224
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:67.0,avg_sp:0.12121212121212122,avg_xp_0_0:0.19696969696969696,avg_xp_0_1:0.24242424242424243,value_loss:1.546607098976771,policy_loss:0.12539190032643577,dist_entropy:1.8833819349606833,actor_grad_norm:3.2021174510320027,critic_grad_norm:7.585818366209666,ratio:2.9946242610613507,best_i:0,average_step_rewards:0.03999999910593033
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:67.0,avg_sp:0.22727272727272727,avg_xp_0_0:0.22727272727272727,avg_xp_0_1:0.25757575757575757,value_loss:1.010038677851359,policy_loss:0.12146490886388346,dist_entropy:1.803464686870575,actor_grad_norm:2.9185913165410358,critic_grad_norm:5.938161143412192,ratio:3.0010855396588645,best_i:0,average_step_rewards:0.07500000298023224
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:67.0,avg_sp:0.4090909090909091,avg_xp_0_0:0.13636363636363635,avg_xp_0_1:0.13636363636363635,value_loss:1.7073536813259125,policy_loss:0.0821627846347789,dist_entropy:1.7080283204714457,actor_grad_norm:3.094891083240509,critic_grad_norm:8.04736358722051,ratio:2.9938230872154237,best_i:0,average_step_rewards:0.13500000536441803
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:66.0,avg_sp:0.5606060606060606,avg_xp_0_0:0.06060606060606061,avg_xp_0_1:0.06060606060606061,value_loss:1.8398457924524942,policy_loss:0.11061924290719129,dist_entropy:1.585162846247355,actor_grad_norm:3.3807875474294025,critic_grad_norm:12.61743582089742,ratio:2.991376360257467,best_i:0,average_step_rewards:0.1850000023841858
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:66.0,avg_sp:0.9545454545454546,avg_xp_0_0:0.045454545454545456,avg_xp_0_1:0.06060606060606061,value_loss:1.8711380889018376,policy_loss:0.18032508196495473,dist_entropy:1.4261195143063863,actor_grad_norm:2.5728538115819295,critic_grad_norm:13.490705668926239,ratio:3.0006104469299317,best_i:0,average_step_rewards:0.3149999976158142
