episode:1,Updates:1/50,Timesteps:400/10000,FPS:88.0,avg_sp:0.42424242424242425,value_loss:1.0323598623275756,policy_loss:-0.0073422353047258564,dist_entropy:0.6923890074094137,actor_grad_norm:1.804792046546936,critic_grad_norm:5.422554969787598,ratio:1.0029683113098145,average_step_rewards:0.14000000059604645
episode:2,Updates:2/50,Timesteps:600/10000,FPS:70.0,avg_sp:0.3787878787878788,value_loss:0.848051655292511,policy_loss:-0.005138407041008246,dist_entropy:0.6872669657071432,actor_grad_norm:1.35407292842865,critic_grad_norm:5.759186267852783,ratio:1.0017011165618896,average_step_rewards:0.125
episode:3,Updates:3/50,Timesteps:800/10000,FPS:64.0,avg_sp:0.4393939393939394,value_loss:0.6577731291453044,policy_loss:-0.008110239784233286,dist_entropy:0.6749720970789591,actor_grad_norm:1.9028352499008179,critic_grad_norm:4.748355388641357,ratio:1.000562310218811,average_step_rewards:0.14499999582767487
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:60.0,avg_sp:0.45454545454545453,value_loss:0.7114807526270549,policy_loss:-0.009258885270295043,dist_entropy:0.6503210822741191,actor_grad_norm:1.9242842197418213,critic_grad_norm:3.13183856010437,ratio:0.9988511800765991,average_step_rewards:0.15000000596046448
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:58.0,avg_sp:0.6666666666666666,value_loss:0.44746581713358563,policy_loss:-0.01068982599303127,dist_entropy:0.6165802160898844,actor_grad_norm:2.0603060722351074,critic_grad_norm:1.5268635749816895,ratio:0.9998877644538879,average_step_rewards:0.2199999988079071
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:57.0,avg_sp:0.6363636363636364,value_loss:0.38900339206059775,policy_loss:-0.0190492574659487,dist_entropy:0.5644860188166301,actor_grad_norm:3.018932580947876,critic_grad_norm:3.555610179901123,ratio:1.0009434223175049,average_step_rewards:0.20999999344348907
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:56.0,avg_sp:0.803030303030303,value_loss:0.4035454233487447,policy_loss:-0.009596673962660122,dist_entropy:0.4972506503264109,actor_grad_norm:2.266268491744995,critic_grad_norm:1.552246332168579,ratio:0.9994823336601257,average_step_rewards:0.26499998569488525
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:55.0,avg_sp:0.7575757575757576,value_loss:0.17361446022987365,policy_loss:-0.010591237032165187,dist_entropy:0.4375247557957967,actor_grad_norm:2.5947265625,critic_grad_norm:2.6149308681488037,ratio:1.000008225440979,average_step_rewards:0.25
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:54.0,avg_sp:0.7878787878787878,value_loss:0.17935400009155272,policy_loss:-0.013694004189223109,dist_entropy:0.3768775502840678,actor_grad_norm:2.7485055923461914,critic_grad_norm:0.9940321445465088,ratio:0.9971018433570862,average_step_rewards:0.25999999046325684
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:54.0,avg_sp:0.8484848484848485,value_loss:0.18502933382987977,policy_loss:-0.008475777251025048,dist_entropy:0.3245858291784922,actor_grad_norm:1.973144292831421,critic_grad_norm:1.1302673816680908,ratio:0.9982033967971802,average_step_rewards:0.2800000011920929
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:53.0,avg_sp:0.8939393939393939,value_loss:0.33781688610712685,policy_loss:-0.0025733531512475297,dist_entropy:0.2842238227526347,actor_grad_norm:1.5807888507843018,critic_grad_norm:1.2658255100250244,ratio:0.9995867609977722,average_step_rewards:0.29499998688697815
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:53.0,avg_sp:0.8787878787878788,value_loss:0.07986576209465662,policy_loss:-0.008877775750743904,dist_entropy:0.24804521401723226,actor_grad_norm:2.223149538040161,critic_grad_norm:1.3520925045013428,ratio:0.9992249011993408,average_step_rewards:0.28999999165534973
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:53.0,avg_sp:0.9090909090909091,value_loss:0.32027800679206847,policy_loss:-0.0037975213339862535,dist_entropy:0.21024841864903768,actor_grad_norm:1.3314989805221558,critic_grad_norm:1.4904907941818237,ratio:0.9986199736595154,average_step_rewards:0.30000001192092896
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:52.0,avg_sp:0.9696969696969697,value_loss:0.1333603372176488,policy_loss:-0.006193674443289628,dist_entropy:0.18274319668610892,actor_grad_norm:1.85612952709198,critic_grad_norm:0.7338873744010925,ratio:0.9978858828544617,average_step_rewards:0.3199999928474426
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:52.0,avg_sp:0.9848484848484849,value_loss:0.061813571800788246,policy_loss:-0.005297290092489367,dist_entropy:0.15374942421913146,actor_grad_norm:1.4184621572494507,critic_grad_norm:0.8302323818206787,ratio:1.0016149282455444,average_step_rewards:0.32499998807907104
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:52.0,avg_sp:0.9393939393939394,value_loss:0.039337644229332606,policy_loss:-0.0009797210743805944,dist_entropy:0.1333748201529185,actor_grad_norm:0.6604486703872681,critic_grad_norm:0.5603227615356445,ratio:1.000010371208191,average_step_rewards:0.3100000023841858
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:51.0,avg_sp:0.9393939393939394,value_loss:0.08138787845770518,policy_loss:-0.003031308483409963,dist_entropy:0.12242634197076162,actor_grad_norm:1.3109885454177856,critic_grad_norm:0.6743603944778442,ratio:0.9998747706413269,average_step_rewards:0.3100000023841858
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:51.0,avg_sp:1.0,value_loss:0.10082919597625732,policy_loss:-0.0032961294477184804,dist_entropy:0.11152203679084778,actor_grad_norm:1.2529678344726562,critic_grad_norm:0.4883035719394684,ratio:0.9997938275337219,average_step_rewards:0.33000001311302185
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:51.0,avg_sp:0.9696969696969697,value_loss:0.019147519146402676,policy_loss:0.00011791773467848544,dist_entropy:0.10402420510848363,actor_grad_norm:0.11655155569314957,critic_grad_norm:0.8775358200073242,ratio:0.9998695850372314,average_step_rewards:0.3199999928474426
