episode:1,Updates:1/50,Timesteps:400/10000,FPS:89.0,avg_sp:0.3939393939393939,value_loss:1.475268816947937,policy_loss:-0.0060540755991824,dist_entropy:0.6922422409057617,actor_grad_norm:1.471656084060669,critic_grad_norm:5.454358100891113,ratio:1.0007718801498413,average_step_rewards:0.12999999523162842
episode:2,Updates:2/50,Timesteps:600/10000,FPS:71.0,avg_sp:0.36363636363636365,value_loss:0.9936338186264038,policy_loss:-0.004033959224509687,dist_entropy:0.6872302770614624,actor_grad_norm:1.05295729637146,critic_grad_norm:7.197216987609863,ratio:1.0011671781539917,average_step_rewards:0.11999999731779099
episode:3,Updates:3/50,Timesteps:800/10000,FPS:63.0,avg_sp:0.42424242424242425,value_loss:0.44640909632047016,policy_loss:-0.0047265158674368495,dist_entropy:0.6780415217081706,actor_grad_norm:1.1476852893829346,critic_grad_norm:4.560734272003174,ratio:1.0013781785964966,average_step_rewards:0.14000000059604645
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:60.0,avg_sp:0.4696969696969697,value_loss:0.47288917303085326,policy_loss:-0.010046544807963069,dist_entropy:0.6622365554173787,actor_grad_norm:1.923158884048462,critic_grad_norm:3.5577311515808105,ratio:0.999535858631134,average_step_rewards:0.1550000011920929
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:58.0,avg_sp:0.5,value_loss:0.42760315934816995,policy_loss:-0.01403463284857569,dist_entropy:0.6313342928886414,actor_grad_norm:2.1587798595428467,critic_grad_norm:2.537764310836792,ratio:1.0005508661270142,average_step_rewards:0.16500000655651093
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:57.0,avg_sp:0.7878787878787878,value_loss:0.4064423680305481,policy_loss:-0.015931440583740682,dist_entropy:0.5824918707211812,actor_grad_norm:2.231872081756592,critic_grad_norm:1.4985471963882446,ratio:0.998045027256012,average_step_rewards:0.25999999046325684
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:56.0,avg_sp:0.7575757575757576,value_loss:0.6138285160064697,policy_loss:-0.0029762493541929834,dist_entropy:0.5305042425791423,actor_grad_norm:1.1024600267410278,critic_grad_norm:4.394840717315674,ratio:1.0006680488586426,average_step_rewards:0.25
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:55.0,avg_sp:0.7878787878787878,value_loss:0.5044411341349284,policy_loss:-0.00403327696506555,dist_entropy:0.48598149220148723,actor_grad_norm:1.3303321599960327,critic_grad_norm:2.1815762519836426,ratio:1.0034667253494263,average_step_rewards:0.25999999046325684
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:54.0,avg_sp:0.8333333333333334,value_loss:0.15794913868109386,policy_loss:-0.015328620648011555,dist_entropy:0.4261698106924693,actor_grad_norm:2.5345370769500732,critic_grad_norm:2.0421042442321777,ratio:1.0017857551574707,average_step_rewards:0.2750000059604645
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:54.0,avg_sp:0.8636363636363636,value_loss:0.34273709456125895,policy_loss:-0.003991027962726908,dist_entropy:0.3593023697535197,actor_grad_norm:1.255496859550476,critic_grad_norm:1.58488929271698,ratio:0.9964516758918762,average_step_rewards:0.2849999964237213
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:53.0,avg_sp:0.8484848484848485,value_loss:0.28748854994773865,policy_loss:-0.0035681954893904393,dist_entropy:0.30710705121358234,actor_grad_norm:1.4465519189834595,critic_grad_norm:0.9700177311897278,ratio:1.000067949295044,average_step_rewards:0.2800000011920929
