episode:1,Updates:1/50,Timesteps:400/10000,FPS:18.0,avg_sp:-8.330275229357799,value_loss:0.5764110426108042,policy_loss:-0.045611028621594114,dist_entropy:1.3765372276306151,actor_grad_norm:2.301713466644287,critic_grad_norm:7.211615085601807,ratio:0.9992332458496094,average_step_rewards:-6.382500171661377
episode:2,Updates:2/50,Timesteps:600/10000,FPS:14.0,avg_sp:-7.607476635514018,value_loss:0.44088944991429646,policy_loss:0.28481764793395997,dist_entropy:1.3379274447758993,actor_grad_norm:2.312838077545166,critic_grad_norm:2.7924540042877197,ratio:1.0012342929840088,average_step_rewards:-4.957499980926514
episode:3,Updates:3/50,Timesteps:800/10000,FPS:13.0,avg_sp:-6.423076923076923,value_loss:0.280482558409373,policy_loss:0.13865694055954617,dist_entropy:1.2721197764078775,actor_grad_norm:1.8487277030944824,critic_grad_norm:1.7795301675796509,ratio:0.9485589265823364,average_step_rewards:-4.050000190734863
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:12.0,avg_sp:-6.764150943396227,value_loss:0.28956669569015503,policy_loss:0.150084188580513,dist_entropy:1.1671167612075806,actor_grad_norm:1.800419569015503,critic_grad_norm:1.8333600759506226,ratio:0.9478024244308472,average_step_rewards:-4.079999923706055
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:11.0,avg_sp:-6.314285714285714,value_loss:0.2926361938317617,policy_loss:0.12857504189014435,dist_entropy:1.1396631956100465,actor_grad_norm:1.047409176826477,critic_grad_norm:2.275986909866333,ratio:0.9788289666175842,average_step_rewards:-2.987499952316284
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:11.0,avg_sp:-4.435643564356436,value_loss:0.2014930486679077,policy_loss:0.012809192094330986,dist_entropy:1.1327091773351035,actor_grad_norm:1.4467716217041016,critic_grad_norm:1.5630087852478027,ratio:1.0098707675933838,average_step_rewards:-2.177500009536743
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:11.0,avg_sp:-4.96078431372549,value_loss:0.06899484992027283,policy_loss:0.07141817683974902,dist_entropy:0.9902215043703715,actor_grad_norm:1.209913730621338,critic_grad_norm:1.054152488708496,ratio:0.9432529211044312,average_step_rewards:-2.625
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:11.0,avg_sp:-3.55,value_loss:0.18854385117689768,policy_loss:0.07147709702452024,dist_entropy:0.9706852197647095,actor_grad_norm:1.3076609373092651,critic_grad_norm:1.857190728187561,ratio:0.9921571612358093,average_step_rewards:-2.112499952316284
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:11.0,avg_sp:-3.613861386138614,value_loss:0.14217653175195058,policy_loss:0.13822487592697144,dist_entropy:0.8279626448949178,actor_grad_norm:1.3086293935775757,critic_grad_norm:1.7997151613235474,ratio:0.9613237977027893,average_step_rewards:-1.9175000190734863
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:11.0,avg_sp:-3.06,value_loss:0.07551987171173095,policy_loss:0.032785859021047754,dist_entropy:0.7876848061879476,actor_grad_norm:1.1254806518554688,critic_grad_norm:1.254547119140625,ratio:0.9781014323234558,average_step_rewards:-1.5399999618530273
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:10.0,avg_sp:-3.1386138613861387,value_loss:0.024273819973071417,policy_loss:0.07913048416376114,dist_entropy:0.7479588230450948,actor_grad_norm:0.9838201999664307,critic_grad_norm:0.6247372031211853,ratio:0.9944807887077332,average_step_rewards:-1.5549999475479126
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:10.0,avg_sp:-3.3,value_loss:0.04085905949274699,policy_loss:-0.022893414925783874,dist_entropy:0.6720929384231568,actor_grad_norm:0.7744725346565247,critic_grad_norm:0.4497590959072113,ratio:0.9938482642173767,average_step_rewards:-1.6749999523162842
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:10.0,avg_sp:-2.63,value_loss:0.05318275541067123,policy_loss:-0.09265164658427238,dist_entropy:0.5051632245381673,actor_grad_norm:1.1143970489501953,critic_grad_norm:0.7977022528648376,ratio:0.9922454953193665,average_step_rewards:-1.2400000095367432
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:10.0,avg_sp:-2.82,value_loss:0.02212358402709166,policy_loss:-0.15297653377056122,dist_entropy:0.4832984447479248,actor_grad_norm:0.8191928863525391,critic_grad_norm:0.9216868281364441,ratio:1.0251846313476562,average_step_rewards:-1.309999942779541
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:10.0,avg_sp:-2.73,value_loss:0.02330551582078139,policy_loss:-0.10595377534627914,dist_entropy:0.46735925078392027,actor_grad_norm:0.8404328227043152,critic_grad_norm:0.5337081551551819,ratio:0.9881612062454224,average_step_rewards:-1.1425000429153442
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:10.0,avg_sp:-3.257425742574257,value_loss:0.041022680203119916,policy_loss:-0.13658905774354935,dist_entropy:0.42508939107259114,actor_grad_norm:0.7161157727241516,critic_grad_norm:0.9215908646583557,ratio:0.9899108409881592,average_step_rewards:-1.5800000429153442
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:10.0,avg_sp:-2.56,value_loss:0.06906296461820602,policy_loss:-0.0835054929057757,dist_entropy:0.46674987077713015,actor_grad_norm:0.8742849230766296,critic_grad_norm:0.6233524680137634,ratio:1.0122618675231934,average_step_rewards:-1.2074999809265137
