episode:1,Updates:1/50,Timesteps:400/10000,FPS:89.0,avg_sp:0.4090909090909091,value_loss:0.7432468414306641,policy_loss:-0.005356618690614893,dist_entropy:0.6924728393554688,actor_grad_norm:1.2662886381149292,critic_grad_norm:3.8847434520721436,ratio:1.0005587339401245,average_step_rewards:0.13500000536441803
episode:2,Updates:2/50,Timesteps:600/10000,FPS:71.0,avg_sp:0.36363636363636365,value_loss:0.6559789061546326,policy_loss:-0.0071148133243744615,dist_entropy:0.6874208569526672,actor_grad_norm:1.6106148958206177,critic_grad_norm:3.488307237625122,ratio:1.0000407695770264,average_step_rewards:0.11999999731779099
episode:3,Updates:3/50,Timesteps:800/10000,FPS:64.0,avg_sp:0.42424242424242425,value_loss:0.2896781583627065,policy_loss:-0.009901577966908567,dist_entropy:0.6760574817657471,actor_grad_norm:1.9104126691818237,critic_grad_norm:2.328308343887329,ratio:1.00455641746521,average_step_rewards:0.14000000059604645
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:61.0,avg_sp:0.48484848484848486,value_loss:0.5688659111658733,policy_loss:-0.007760988540947445,dist_entropy:0.6567589163780212,actor_grad_norm:1.5492404699325562,critic_grad_norm:2.2600462436676025,ratio:0.9983521103858948,average_step_rewards:0.1599999964237213
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:59.0,avg_sp:0.4393939393939394,value_loss:0.4362854798634847,policy_loss:-0.00902155678470929,dist_entropy:0.6305574138959249,actor_grad_norm:1.783583402633667,critic_grad_norm:1.5585299730300903,ratio:0.9989092350006104,average_step_rewards:0.14499999582767487
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:57.0,avg_sp:0.8636363636363636,value_loss:0.2843792736530304,policy_loss:-0.01753388919246698,dist_entropy:0.5922937830289204,actor_grad_norm:2.4757680892944336,critic_grad_norm:1.544063925743103,ratio:0.9984868168830872,average_step_rewards:0.2849999964237213
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:56.0,avg_sp:0.696969696969697,value_loss:0.184305077791214,policy_loss:-0.015529323935508661,dist_entropy:0.5448512355486552,actor_grad_norm:2.2692906856536865,critic_grad_norm:3.519519567489624,ratio:1.0085679292678833,average_step_rewards:0.23000000417232513
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:55.0,avg_sp:0.8484848484848485,value_loss:0.2466777503490448,policy_loss:-0.013642098024487482,dist_entropy:0.49630212783813477,actor_grad_norm:2.1663894653320312,critic_grad_norm:3.0638558864593506,ratio:1.0023921728134155,average_step_rewards:0.2800000011920929
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:55.0,avg_sp:0.8787878787878788,value_loss:0.4807341814041138,policy_loss:-0.004142635121475902,dist_entropy:0.4658234973748525,actor_grad_norm:1.3024541139602661,critic_grad_norm:1.8441436290740967,ratio:0.9973356127738953,average_step_rewards:0.28999999165534973
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:54.0,avg_sp:0.8787878787878788,value_loss:0.12644473512967427,policy_loss:-0.007011880773895725,dist_entropy:0.4341245452562968,actor_grad_norm:2.097476005554199,critic_grad_norm:1.1293576955795288,ratio:0.9995548129081726,average_step_rewards:0.28999999165534973
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:54.0,avg_sp:0.8484848484848485,value_loss:0.09459960410992305,policy_loss:-0.007745133290688244,dist_entropy:0.3996975580851237,actor_grad_norm:2.1270599365234375,critic_grad_norm:0.5860992670059204,ratio:1.0008984804153442,average_step_rewards:0.2800000011920929
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:54.0,avg_sp:0.9545454545454546,value_loss:0.11437577108542124,policy_loss:-0.00866146963648499,dist_entropy:0.3631365954875946,actor_grad_norm:2.356553077697754,critic_grad_norm:0.9751808643341064,ratio:1.0041892528533936,average_step_rewards:0.3149999976158142
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:54.0,avg_sp:0.9393939393939394,value_loss:0.07812498410542806,policy_loss:-0.001788684748113134,dist_entropy:0.31637356877326966,actor_grad_norm:1.3484941720962524,critic_grad_norm:0.7869634032249451,ratio:0.999484658241272,average_step_rewards:0.3100000023841858
