episode:1,Updates:1/50,Timesteps:400/10000,FPS:89.0,avg_sp:0.4393939393939394,value_loss:0.5761109352111816,policy_loss:-0.010893258053498967,dist_entropy:0.692236864566803,actor_grad_norm:2.495786190032959,critic_grad_norm:3.603466749191284,ratio:0.9979994893074036,average_step_rewards:0.14499999582767487
episode:2,Updates:2/50,Timesteps:600/10000,FPS:71.0,avg_sp:0.4696969696969697,value_loss:0.9097262461980183,policy_loss:-0.005703533086304861,dist_entropy:0.687086037794749,actor_grad_norm:1.4764492511749268,critic_grad_norm:4.716293811798096,ratio:1.0003046989440918,average_step_rewards:0.1550000011920929
episode:3,Updates:3/50,Timesteps:800/10000,FPS:64.0,avg_sp:0.5151515151515151,value_loss:0.5754327932993571,policy_loss:-0.006511443449649986,dist_entropy:0.6773037870724996,actor_grad_norm:1.5220037698745728,critic_grad_norm:3.08880352973938,ratio:1.0001680850982666,average_step_rewards:0.17000000178813934
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:61.0,avg_sp:0.42424242424242425,value_loss:0.520541779200236,policy_loss:-0.007989767658213775,dist_entropy:0.6624088088671366,actor_grad_norm:1.5821800231933594,critic_grad_norm:2.0730702877044678,ratio:1.0033307075500488,average_step_rewards:0.14000000059604645
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:59.0,avg_sp:0.6060606060606061,value_loss:0.2792539119720459,policy_loss:-0.01595909802367288,dist_entropy:0.6343617558479309,actor_grad_norm:2.526576042175293,critic_grad_norm:1.485681176185608,ratio:0.9970885515213013,average_step_rewards:0.20000000298023224
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:57.0,avg_sp:0.6212121212121212,value_loss:0.5279669920603435,policy_loss:-0.008516436777388078,dist_entropy:0.5982892711957296,actor_grad_norm:1.4260921478271484,critic_grad_norm:2.3405919075012207,ratio:1.003114938735962,average_step_rewards:0.20499999821186066
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:56.0,avg_sp:0.7272727272727273,value_loss:0.2443193366130193,policy_loss:-0.014210760293838876,dist_entropy:0.5595874190330505,actor_grad_norm:2.2511610984802246,critic_grad_norm:1.7073476314544678,ratio:1.0003917217254639,average_step_rewards:0.23999999463558197
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:55.0,avg_sp:0.8333333333333334,value_loss:0.16575900614261627,policy_loss:-0.01403763162779311,dist_entropy:0.5250126957893372,actor_grad_norm:2.060418128967285,critic_grad_norm:2.658477306365967,ratio:1.0031434297561646,average_step_rewards:0.2750000059604645
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:55.0,avg_sp:0.803030303030303,value_loss:0.3010493437449137,policy_loss:-0.004212119225412655,dist_entropy:0.5026947379112243,actor_grad_norm:1.0096485614776611,critic_grad_norm:2.3944170475006104,ratio:1.0022814273834229,average_step_rewards:0.26499998569488525
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:54.0,avg_sp:0.8636363636363636,value_loss:0.16156580547491708,policy_loss:-0.009743804347390988,dist_entropy:0.48462958534558614,actor_grad_norm:2.0432751178741455,critic_grad_norm:0.9250537157058716,ratio:0.9966824054718018,average_step_rewards:0.2849999964237213
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:54.0,avg_sp:0.8333333333333334,value_loss:0.311422590414683,policy_loss:-0.004952894866621686,dist_entropy:0.461995400985082,actor_grad_norm:1.2547212839126587,critic_grad_norm:1.1664220094680786,ratio:1.0053551197052002,average_step_rewards:0.2750000059604645
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:53.0,avg_sp:0.9242424242424242,value_loss:0.14472265144189198,policy_loss:-0.007300406015633302,dist_entropy:0.4243677357832591,actor_grad_norm:1.9354385137557983,critic_grad_norm:0.9996864199638367,ratio:0.9975320100784302,average_step_rewards:0.3050000071525574
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:53.0,avg_sp:0.8939393939393939,value_loss:0.29433633883794147,policy_loss:-0.0023100781756802747,dist_entropy:0.39703439474105834,actor_grad_norm:0.9047538638114929,critic_grad_norm:1.3188929557800293,ratio:0.9967768788337708,average_step_rewards:0.29499998688697815
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:53.0,avg_sp:0.8939393939393939,value_loss:0.13924787640571595,policy_loss:-0.00342777916913235,dist_entropy:0.3715517004330953,actor_grad_norm:1.4676717519760132,critic_grad_norm:0.676417887210846,ratio:0.9966022968292236,average_step_rewards:0.29499998688697815
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:53.0,avg_sp:0.9090909090909091,value_loss:0.1671608736117681,policy_loss:-0.005508872003139291,dist_entropy:0.3468617161115011,actor_grad_norm:1.4649053812026978,critic_grad_norm:0.603249728679657,ratio:0.9983187317848206,average_step_rewards:0.30000001192092896
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:53.0,avg_sp:0.9696969696969697,value_loss:0.125212528804938,policy_loss:-0.007593503623269493,dist_entropy:0.3119755148887634,actor_grad_norm:1.6742780208587646,critic_grad_norm:0.6582396030426025,ratio:0.9988716244697571,average_step_rewards:0.3199999928474426
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:52.0,avg_sp:0.9090909090909091,value_loss:0.07634784479935965,policy_loss:-0.0019751199971263845,dist_entropy:0.3005188643932343,actor_grad_norm:0.6331735849380493,critic_grad_norm:0.8921857476234436,ratio:1.0013567209243774,average_step_rewards:0.30000001192092896
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:52.0,avg_sp:0.9242424242424242,value_loss:0.13020954529444376,policy_loss:-0.003516509555280223,dist_entropy:0.3202729860941569,actor_grad_norm:1.4025105237960815,critic_grad_norm:0.5799063444137573,ratio:1.0005656480789185,average_step_rewards:0.3050000071525574
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:52.0,avg_sp:0.9545454545454546,value_loss:0.0970804050564766,policy_loss:-0.0038079491915026095,dist_entropy:0.3406628410021464,actor_grad_norm:1.3526570796966553,critic_grad_norm:0.7283583283424377,ratio:0.9995936155319214,average_step_rewards:0.3149999976158142
episode:20,Updates:20/50,Timesteps:4200/10000,FPS:52.0,avg_sp:1.0,value_loss:0.04107384358843168,policy_loss:-0.005636600183478239,dist_entropy:0.3279884119828542,actor_grad_norm:1.3991680145263672,critic_grad_norm:0.6319482326507568,ratio:1.0001484155654907,average_step_rewards:0.33000001311302185
episode:21,Updates:21/50,Timesteps:4400/10000,FPS:52.0,avg_sp:0.9848484848484849,value_loss:0.02911217659711838,policy_loss:0.0010603324613378837,dist_entropy:0.3087126930554708,actor_grad_norm:0.24189922213554382,critic_grad_norm:0.6028593182563782,ratio:0.9981911778450012,average_step_rewards:0.32499998807907104
episode:22,Updates:22/50,Timesteps:4600/10000,FPS:52.0,avg_sp:0.9393939393939394,value_loss:0.033272510021924974,policy_loss:-0.002339645306191714,dist_entropy:0.30375768144925436,actor_grad_norm:0.8303338885307312,critic_grad_norm:0.29039591550827026,ratio:0.9988453388214111,average_step_rewards:0.3100000023841858
episode:23,Updates:23/50,Timesteps:4800/10000,FPS:52.0,avg_sp:0.9848484848484849,value_loss:0.14416268169879914,policy_loss:-0.007209052334539478,dist_entropy:0.2829652468363444,actor_grad_norm:0.9503151178359985,critic_grad_norm:1.1061655282974243,ratio:1.0028022527694702,average_step_rewards:0.32499998807907104
episode:24,Updates:24/50,Timesteps:5000/10000,FPS:52.0,avg_sp:0.9696969696969697,value_loss:0.06394847482442856,policy_loss:-0.002327182495733737,dist_entropy:0.2509529749552409,actor_grad_norm:0.5096527934074402,critic_grad_norm:0.7373744249343872,ratio:1.000841736793518,average_step_rewards:0.3199999928474426
episode:25,Updates:25/50,Timesteps:5200/10000,FPS:52.0,avg_sp:0.9696969696969697,value_loss:0.09552938044071198,policy_loss:-0.005253191045951114,dist_entropy:0.22737108170986176,actor_grad_norm:1.020231008529663,critic_grad_norm:0.4597933888435364,ratio:1.0031784772872925,average_step_rewards:0.3199999928474426
episode:26,Updates:26/50,Timesteps:5400/10000,FPS:51.0,avg_sp:0.9696969696969697,value_loss:0.09903092632691066,policy_loss:-0.004986686650663626,dist_entropy:0.19731140236059824,actor_grad_norm:0.7466179132461548,critic_grad_norm:0.2516132891178131,ratio:0.9964893460273743,average_step_rewards:0.3199999928474426
episode:27,Updates:27/50,Timesteps:5600/10000,FPS:51.0,avg_sp:1.0,value_loss:0.07367221812407175,policy_loss:-0.004518463829066599,dist_entropy:0.18197799424330394,actor_grad_norm:0.7731247544288635,critic_grad_norm:0.4385378062725067,ratio:0.9995282888412476,average_step_rewards:0.33000001311302185
episode:28,Updates:28/50,Timesteps:5800/10000,FPS:51.0,avg_sp:1.0,value_loss:0.037235486507415774,policy_loss:-3.10349463394625e-05,dist_entropy:0.17783418893814087,actor_grad_norm:0.059393227100372314,critic_grad_norm:0.37606456875801086,ratio:0.9998228549957275,average_step_rewards:0.33000001311302185
episode:29,Updates:29/50,Timesteps:6000/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.03667019406954448,policy_loss:-2.8741677406888638e-05,dist_entropy:0.17581642071406048,actor_grad_norm:0.09673643112182617,critic_grad_norm:0.1506018489599228,ratio:0.9999085664749146,average_step_rewards:0.32499998807907104
episode:30,Updates:30/50,Timesteps:6200/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.04430749490857124,policy_loss:-0.0010177149515656699,dist_entropy:0.1734672377506892,actor_grad_norm:0.562264621257782,critic_grad_norm:0.1902986615896225,ratio:1.0003571510314941,average_step_rewards:0.32499998807907104
episode:31,Updates:31/50,Timesteps:6400/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.04588234225908915,policy_loss:-0.0010317047147934133,dist_entropy:0.16847216288248698,actor_grad_norm:0.5242241621017456,critic_grad_norm:0.0982559472322464,ratio:1.0002459287643433,average_step_rewards:0.32499998807907104
episode:32,Updates:32/50,Timesteps:6600/10000,FPS:51.0,avg_sp:1.0,value_loss:0.04771338775753975,policy_loss:-0.0038172054292323547,dist_entropy:0.1581516851981481,actor_grad_norm:0.7589638829231262,critic_grad_norm:0.06931295990943909,ratio:0.9983989000320435,average_step_rewards:0.33000001311302185
episode:33,Updates:33/50,Timesteps:6800/10000,FPS:51.0,avg_sp:1.0,value_loss:0.04127466703454653,policy_loss:-0.002081322221706235,dist_entropy:0.14119016230106354,actor_grad_norm:0.8200815916061401,critic_grad_norm:0.28273624181747437,ratio:0.9997538328170776,average_step_rewards:0.33000001311302185
episode:34,Updates:34/50,Timesteps:7000/10000,FPS:51.0,avg_sp:0.9696969696969697,value_loss:0.0429967758556207,policy_loss:-2.730019864006413e-05,dist_entropy:0.13866969843705496,actor_grad_norm:0.21660496294498444,critic_grad_norm:0.26606667041778564,ratio:0.9975283741950989,average_step_rewards:0.3199999928474426
episode:35,Updates:35/50,Timesteps:7200/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.08901428232590357,policy_loss:-0.0033186944204305273,dist_entropy:0.13390342990557352,actor_grad_norm:0.7081907987594604,critic_grad_norm:0.5441347360610962,ratio:1.0003880262374878,average_step_rewards:0.32499998807907104
episode:36,Updates:36/50,Timesteps:7400/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.09157574325799941,policy_loss:-0.003486275271978201,dist_entropy:0.12175112317005793,actor_grad_norm:0.47242873907089233,critic_grad_norm:0.37791141867637634,ratio:0.9995391368865967,average_step_rewards:0.32499998807907104
episode:37,Updates:37/50,Timesteps:7600/10000,FPS:51.0,avg_sp:1.0,value_loss:0.09035477191209793,policy_loss:-0.0044690953313062535,dist_entropy:0.1092235694328944,actor_grad_norm:0.6304036378860474,critic_grad_norm:0.37157586216926575,ratio:0.9994037747383118,average_step_rewards:0.33000001311302185
episode:38,Updates:38/50,Timesteps:7800/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.05590711534023285,policy_loss:4.3752511366612626e-05,dist_entropy:0.097443359096845,actor_grad_norm:0.09304755181074142,critic_grad_norm:0.33051764965057373,ratio:1.0005241632461548,average_step_rewards:0.32499998807907104
