episode:1,Updates:1/250,Timesteps:400/50000,FPS:221.0,avg_sp:-11.732758620689655,value_loss:1.066950249671936,policy_loss:0.022736314311623575,dist_entropy:1.3861432154973348,actor_grad_norm:1.97524893283844,critic_grad_norm:14.072174072265625,ratio:1.0008704662322998,average_step_rewards:-7.505000114440918
episode:2,Updates:2/250,Timesteps:600/50000,FPS:184.0,avg_sp:-9.5,value_loss:0.33904971679051715,policy_loss:0.0207066522911191,dist_entropy:1.385504174232483,actor_grad_norm:2.25492262840271,critic_grad_norm:2.1267178058624268,ratio:0.9988319277763367,average_step_rewards:-5.942500114440918
episode:3,Updates:3/250,Timesteps:800/50000,FPS:170.0,avg_sp:-10.547008547008547,value_loss:0.3767179628213247,policy_loss:0.11040260344743728,dist_entropy:1.3847713311513266,actor_grad_norm:2.2611820697784424,critic_grad_norm:2.0750627517700195,ratio:0.9987615942955017,average_step_rewards:-6.875
episode:4,Updates:4/250,Timesteps:1000/50000,FPS:162.0,avg_sp:-11.03448275862069,value_loss:0.3194118420283,policy_loss:0.11556156973044078,dist_entropy:1.3825002272923788,actor_grad_norm:2.2990286350250244,critic_grad_norm:1.8048360347747803,ratio:1.0001981258392334,average_step_rewards:-7.482500076293945
episode:5,Updates:5/250,Timesteps:1200/50000,FPS:158.0,avg_sp:-9.901785714285714,value_loss:0.2736688335736593,policy_loss:0.10484989931186041,dist_entropy:1.3798722505569458,actor_grad_norm:2.874410390853882,critic_grad_norm:3.1255574226379395,ratio:0.9978734254837036,average_step_rewards:-6.232500076293945
episode:6,Updates:6/250,Timesteps:1400/50000,FPS:154.0,avg_sp:-9.212389380530974,value_loss:0.2756449083487193,policy_loss:0.11230098158121109,dist_entropy:1.3742405652999878,actor_grad_norm:2.787351369857788,critic_grad_norm:2.464383840560913,ratio:0.998408854007721,average_step_rewards:-6.037499904632568
episode:7,Updates:7/250,Timesteps:1600/50000,FPS:152.0,avg_sp:-8.504587155963304,value_loss:0.2580189843972524,policy_loss:0.12180959781010946,dist_entropy:1.367133585611979,actor_grad_norm:2.808419942855835,critic_grad_norm:2.189328908920288,ratio:1.0008372068405151,average_step_rewards:-4.724999904632568
episode:8,Updates:8/250,Timesteps:1800/50000,FPS:150.0,avg_sp:-8.194444444444445,value_loss:0.2640060067176819,policy_loss:0.11522247890631358,dist_entropy:1.358833384513855,actor_grad_norm:2.629399061203003,critic_grad_norm:1.8715553283691406,ratio:0.998611569404602,average_step_rewards:-5.21750020980835
episode:9,Updates:9/250,Timesteps:2000/50000,FPS:149.0,avg_sp:-8.118181818181819,value_loss:0.2833044131596883,policy_loss:0.08885716001192728,dist_entropy:1.3451852718989055,actor_grad_norm:2.730916738510132,critic_grad_norm:1.3382915258407593,ratio:0.9977880716323853,average_step_rewards:-5.357500076293945
episode:10,Updates:10/250,Timesteps:2200/50000,FPS:148.0,avg_sp:-7.927272727272728,value_loss:0.3110733449459076,policy_loss:0.13135300676027933,dist_entropy:1.3340739488601685,actor_grad_norm:3.450324296951294,critic_grad_norm:1.9208004474639893,ratio:0.9986243844032288,average_step_rewards:-5.329999923706055
episode:11,Updates:11/250,Timesteps:2400/50000,FPS:147.0,avg_sp:-6.943396226415095,value_loss:0.22864783704280853,policy_loss:0.12535082250833512,dist_entropy:1.3178051869074503,actor_grad_norm:3.2535440921783447,critic_grad_norm:0.9105186462402344,ratio:0.9967589974403381,average_step_rewards:-4.164999961853027
episode:12,Updates:12/250,Timesteps:2600/50000,FPS:146.0,avg_sp:-7.3545454545454545,value_loss:0.19106886982917787,policy_loss:0.10130739907423655,dist_entropy:1.3056814988454184,actor_grad_norm:2.690077543258667,critic_grad_norm:2.16225004196167,ratio:0.9984627366065979,average_step_rewards:-4.255000114440918
episode:13,Updates:13/250,Timesteps:2800/50000,FPS:145.0,avg_sp:-6.9907407407407405,value_loss:0.3009907066822052,policy_loss:0.08325551052888235,dist_entropy:1.2840755144755045,actor_grad_norm:3.1181437969207764,critic_grad_norm:1.8545401096343994,ratio:0.9956996440887451,average_step_rewards:-3.694999933242798
episode:14,Updates:14/250,Timesteps:3000/50000,FPS:145.0,avg_sp:-6.311320754716981,value_loss:0.19534997244675953,policy_loss:0.06770357191562652,dist_entropy:1.262823724746704,actor_grad_norm:2.380917549133301,critic_grad_norm:1.728934407234192,ratio:0.9978774189949036,average_step_rewards:-3.6024999618530273
episode:15,Updates:15/250,Timesteps:3200/50000,FPS:144.0,avg_sp:-7.564814814814815,value_loss:0.2224724481503169,policy_loss:0.0789118563135465,dist_entropy:1.2502830108006795,actor_grad_norm:2.6648712158203125,critic_grad_norm:0.9539517760276794,ratio:0.9990111589431763,average_step_rewards:-4.289999961853027
episode:16,Updates:16/250,Timesteps:3400/50000,FPS:144.0,avg_sp:-5.495238095238095,value_loss:0.24338391820589703,policy_loss:0.07026741753021876,dist_entropy:1.2152804056803386,actor_grad_norm:3.1405062675476074,critic_grad_norm:1.8761590719223022,ratio:0.9994440674781799,average_step_rewards:-2.8575000762939453
episode:17,Updates:17/250,Timesteps:3600/50000,FPS:143.0,avg_sp:-5.519230769230769,value_loss:0.17924347817897796,policy_loss:0.06928583333889643,dist_entropy:1.2091797669728597,actor_grad_norm:2.303642988204956,critic_grad_norm:1.9961494207382202,ratio:0.9982830882072449,average_step_rewards:-2.992500066757202
episode:18,Updates:18/250,Timesteps:3800/50000,FPS:143.0,avg_sp:-5.640776699029126,value_loss:0.13787537316481271,policy_loss:0.10871692895889282,dist_entropy:1.1700520912806194,actor_grad_norm:2.6309359073638916,critic_grad_norm:1.4167921543121338,ratio:0.9987807869911194,average_step_rewards:-2.887500047683716
episode:19,Updates:19/250,Timesteps:4000/50000,FPS:143.0,avg_sp:-5.904761904761905,value_loss:0.12932603657245637,policy_loss:0.005555252108024433,dist_entropy:1.137084666887919,actor_grad_norm:1.9293071031570435,critic_grad_norm:0.8338024616241455,ratio:0.9998399615287781,average_step_rewards:-3.0199999809265137
episode:20,Updates:20/250,Timesteps:4200/50000,FPS:143.0,avg_sp:-6.056603773584905,value_loss:0.18284232914447784,policy_loss:0.03961251427729925,dist_entropy:1.1107434511184693,actor_grad_norm:2.0464797019958496,critic_grad_norm:0.9570225477218628,ratio:1.0019177198410034,average_step_rewards:-3.6549999713897705
episode:21,Updates:21/250,Timesteps:4400/50000,FPS:142.0,avg_sp:-4.543689320388349,value_loss:0.2619331161181132,policy_loss:0.09152047485113143,dist_entropy:1.1191612402598063,actor_grad_norm:2.025256633758545,critic_grad_norm:2.289389133453369,ratio:0.9973324537277222,average_step_rewards:-2.2174999713897705
episode:22,Updates:22/250,Timesteps:4600/50000,FPS:142.0,avg_sp:-4.715686274509804,value_loss:0.1555084029833476,policy_loss:0.05556001762549082,dist_entropy:1.102105975151062,actor_grad_norm:1.9631513357162476,critic_grad_norm:1.4995945692062378,ratio:0.9988980889320374,average_step_rewards:-2.3125
episode:23,Updates:23/250,Timesteps:4800/50000,FPS:142.0,avg_sp:-4.388349514563107,value_loss:0.12483630875746408,policy_loss:0.034479134778181715,dist_entropy:1.0697033802668254,actor_grad_norm:2.7146294116973877,critic_grad_norm:0.8056915998458862,ratio:1.001544713973999,average_step_rewards:-2.299999952316284
episode:24,Updates:24/250,Timesteps:5000/50000,FPS:142.0,avg_sp:-4.7254901960784315,value_loss:0.16802052358786265,policy_loss:0.06953158353765805,dist_entropy:1.057722306251526,actor_grad_norm:2.5669045448303223,critic_grad_norm:0.6962772607803345,ratio:0.9999868273735046,average_step_rewards:-2.5850000381469727
episode:25,Updates:25/250,Timesteps:5200/50000,FPS:141.0,avg_sp:-3.75,value_loss:0.13988807996114094,policy_loss:0.06017264823118846,dist_entropy:1.0439327239990235,actor_grad_norm:2.0765323638916016,critic_grad_norm:1.18382728099823,ratio:0.9990962147712708,average_step_rewards:-1.9149999618530273
episode:26,Updates:26/250,Timesteps:5400/50000,FPS:141.0,avg_sp:-3.91,value_loss:0.07593542685111364,policy_loss:0.011308935703709722,dist_entropy:1.0293030420939127,actor_grad_norm:1.787516474723816,critic_grad_norm:0.5315229892730713,ratio:0.9976205229759216,average_step_rewards:-1.7625000476837158
episode:27,Updates:27/250,Timesteps:5600/50000,FPS:141.0,avg_sp:-4.578431372549019,value_loss:0.06037007123231888,policy_loss:0.004892417311202735,dist_entropy:1.010067598025004,actor_grad_norm:1.3684231042861938,critic_grad_norm:0.42692458629608154,ratio:1.0010621547698975,average_step_rewards:-2.6624999046325684
episode:28,Updates:28/250,Timesteps:5800/50000,FPS:141.0,avg_sp:-4.382352941176471,value_loss:0.2059670130411784,policy_loss:0.04470697666207949,dist_entropy:1.001675041516622,actor_grad_norm:2.1378707885742188,critic_grad_norm:1.7229876518249512,ratio:1.002212643623352,average_step_rewards:-2.2799999713897705
episode:29,Updates:29/250,Timesteps:6000/50000,FPS:141.0,avg_sp:-4.2254901960784315,value_loss:0.15115958948930105,policy_loss:0.03902328958113988,dist_entropy:0.9914109587669373,actor_grad_norm:1.7538625001907349,critic_grad_norm:1.73566472530365,ratio:0.9989327788352966,average_step_rewards:-2.5799999237060547
episode:30,Updates:30/250,Timesteps:6200/50000,FPS:141.0,avg_sp:-4.207920792079208,value_loss:0.17846893866856892,policy_loss:0.07764078329006831,dist_entropy:0.9925125002861023,actor_grad_norm:2.858262300491333,critic_grad_norm:1.6637041568756104,ratio:0.9972240328788757,average_step_rewards:-1.9824999570846558
episode:31,Updates:31/250,Timesteps:6400/50000,FPS:141.0,avg_sp:-3.49,value_loss:0.07351672947406769,policy_loss:0.018416711191336314,dist_entropy:0.934628176689148,actor_grad_norm:1.6413706541061401,critic_grad_norm:0.49656808376312256,ratio:0.996872067451477,average_step_rewards:-1.840000033378601
episode:32,Updates:32/250,Timesteps:6600/50000,FPS:140.0,avg_sp:-4.578431372549019,value_loss:0.09085134615500769,policy_loss:0.04818830837806066,dist_entropy:0.9254095276196798,actor_grad_norm:2.3776865005493164,critic_grad_norm:0.4899247884750366,ratio:0.9989847540855408,average_step_rewards:-2.509999990463257
episode:33,Updates:33/250,Timesteps:6800/50000,FPS:140.0,avg_sp:-3.372549019607843,value_loss:0.19538169006506603,policy_loss:0.040523479133844374,dist_entropy:0.9083781679471333,actor_grad_norm:2.2492077350616455,critic_grad_norm:1.8038729429244995,ratio:1.0002063512802124,average_step_rewards:-1.8450000286102295
episode:34,Updates:34/250,Timesteps:7000/50000,FPS:140.0,avg_sp:-3.3465346534653464,value_loss:0.1595176041126251,policy_loss:0.025726180089016757,dist_entropy:0.9134972572326661,actor_grad_norm:3.254695177078247,critic_grad_norm:1.607323169708252,ratio:1.0064271688461304,average_step_rewards:-1.600000023841858
episode:35,Updates:35/250,Timesteps:7200/50000,FPS:140.0,avg_sp:-3.396039603960396,value_loss:0.0744625930984815,policy_loss:-0.04183840602636337,dist_entropy:0.8876388629277547,actor_grad_norm:1.5350548028945923,critic_grad_norm:0.8092403411865234,ratio:0.9965331554412842,average_step_rewards:-1.597499966621399
episode:36,Updates:36/250,Timesteps:7400/50000,FPS:140.0,avg_sp:-3.4,value_loss:0.05211506312092145,policy_loss:-0.02543389747540156,dist_entropy:0.8712900837262472,actor_grad_norm:0.9123504757881165,critic_grad_norm:0.5065397024154663,ratio:0.9995768666267395,average_step_rewards:-1.7975000143051147
episode:37,Updates:37/250,Timesteps:7600/50000,FPS:140.0,avg_sp:-3.22,value_loss:0.07776566098133723,policy_loss:0.02035505970319112,dist_entropy:0.8784732381502788,actor_grad_norm:1.7828090190887451,critic_grad_norm:0.7537310719490051,ratio:1.000501275062561,average_step_rewards:-1.6699999570846558
